Category,Count
Others,207
HETZNER,181
AMAZON,140
COMCAST,93
OVH,81
TERASWITCH,63
VULTR,63
SPECTRUM,58
ATT,51
VERIZON,48
M-NET TELEKOMMUNIKATIONS GMBH,38
ORANGE,37
GOOGLE,35
DEUTSCHE TELEKOM AG,34
ORACLE,31
VODAFONE,28
CDN77,26
COX,23
DIGITALOCEAN,23
TENCENT,20
SPACEX-STARLINK,20
SPEEDYPAGE,15
LEASEWEB,14
IONOS,13
HIVELOCITY,12
FREE SAS,12
NETCUP,12
T-MOBILE,12
CABLE-NET-1,12
CONTABO,12
BOUYGUES TELECOM SA,10
ALIBABA,10
BRITISH TELECOMMUNICATIONS PLC,9
DIGI SPAIN TELECOM S.L.,9
MICROSOFT,9
LINODE,8
KERALA VISION BROAD BAND PRIVATE LIMITED,8
KPN B.V.,8
VIDEOTRON,7
CENTURYLINK-US-LEGACY-QWEST,7
RELIANCE JIO INFOCOMM LIMITED,7
VIRGIN MEDIA,7
CELTEL NIGERIA LIMITED T.A ZAIN,7
BACOM,7
BEZEQ- THE ISRAEL TELECOMMUNICATION CORP. LTD.,7
NL-811-40021,7
CLARO NXT TELECOMUNICACOES LTDA,6
MELBIKOMAS UAB,5
ROGERS-COMMUNICATIONS,5
VNPT CORP,5
AUSSIE BROADBAND,5
ARUBA S.P.A.,5
HYPEROPTIC LTD,5
TIM,5
FRONTIER-FRTR,5
MIDCO-NET,5
DEDICATED,4
TELEFONICA DE ESPANA S.A.U.,4
ODIDO NETHERLANDS B.V.,4
SKY UK LIMITED,4
FORT-COLLINS-CONNEXION,4
SOCIETE FRANCAISE DU RADIOTELEPHONE - SFR SA,4
STARHUB LTD,4
BLOOM-HOST,4
"CHINA MOBILE COMMUNICATIONS GROUP CO., LTD.",4
LIMESTONENETWORKS,4
EQUINIX,4
F3,3
UNINET,3
COGENT-174,3
SUPERLOOP,3
HUAWEI CLOUDS,3
MEDIACOM-ENTERPRISE-BUSINESS,3
RELIABLESITE,3
ICS-LLC,3
CMN,3
CLOUVIDER LIMITED,3
LG POWERCOMM,3
HOT-NET INTERNET SERVICES LTD.,3
LCPRL,3
TELUS COMMUNICATIONS,3
BLUEWIN,3
WIND TRE S.P.A.,3
GREENFIBER INTERNET & DIENSTE GMBH,3
BRSPD-PUBLIC,3
CONEXON-CONNECT,3
SUNRISE GMBH,3
