Category,Count
US,1913
DE,1317
FR,457
FI,384
NL,323
CA,305
GB,240
CH,181
RU,166
SG,136
AU,106
JP,97
CZ,96
BR,84
IT,82
ES,79
SE,71
KR,69
PL,68
AT,66
CN,59
HK,49
IE,44
BE,37
LT,37
UA,35
BG,33
TH,32
NZ,30
IN,28
HU,26
NO,26
RO,25
ZA,25
PT,23
AR,21
MY,20
SK,16
TW,14
MX,13
MD,13
EE,12
SI,12
IL,12
AE,11
TR,11
DK,10
LU,9
CL,7
CO,7
GR,7
LV,6
SA,6
ID,6
UY,5
BH,5
KZ,5
MT,4
QA,4
KG,4
PA,4
CY,4
VN,3
KW,3
RS,3
BZ,3
CR,3
IS,3
HR,3
IM,2
DZ,2
GT,2
BY,2
FO,2
PK,2
PH,2
ME,2
BA,1
GE,1
IR,1
KH,1
EC,1
LA,1
SV,1
LI,1
VE,1
TT,1
DO,1
CW,1
MU,1
AD,1
