Category,Count,Percentage
Hetzner Online GmbH,77,16.96
AMAZON-02,56,12.33
Contabo GmbH,51,11.23
OVHS,43,9.47
DIGITALOCEAN-ASN,17,3.74
NL-811-40021,16,3.52
Contabo Asia Private Limited,10,2.2
"Alibaba US Technology Co.,",10,2.2
AMAZON-AES,7,1.54
GOOGLE,7,1.54
GOOGLE-CLOUD-PLATFORM,6,1.32
Scaleway S.a.s.,6,1.32
AS-VULTR,6,1.32
netcup GmbH,5,1.1
Aussie Broadband,5,1.1
Hostinger International Limited,4,0.88
COMCAST-7922,4,0.88
Serious Tubes Networks,4,0.88
UUNET,3,0.66
TERASWITCH,3,0.66
MICROSOFT-CORP-MSN-AS-BLOCK,3,0.66
ATT-INTERNET4,3,0.66
Global Layer B.V.,2,0.44
ASN-QUADRANET-GLOBAL,2,0.44
Telstra Limited,2,0.44
Atomdata Jsc,2,0.44
HVC-AS,2,0.44
China Unicom Beijing Province Network,2,0.44
Cyber_Folks S.A.,2,0.44
31173 Services AB,2,0.44
Akamai Connected Cloud,2,0.44
PVimpelCom,2,0.44
data-centr ekaterinburg OOO,2,0.44
Hostkey B.v.,2,0.44
DEDICATED,2,0.44
GTCOMM,2,0.44
NAMECHEAP-NET,2,0.44
Deutsche Telekom,2,0.44
WIIT,2,0.44
