Category,Count
US,2645
DE,1346
FR,463
FI,410
NL,340
CA,302
GB,234
CH,193
RU,168
SG,163
AU,128
JP,124
BR,101
CZ,95
IT,85
KR,79
ES,76
PL,73
SE,69
HK,66
AT,65
CN,50
BE,46
IN,43
IE,43
LT,36
TW,34
BG,33
UA,29
NZ,29
NO,27
TH,27
RO,26
HU,23
ZA,21
AR,20
ID,18
PT,17
MY,17
AE,15
SK,14
MX,13
EE,13
SI,12
MD,11
IL,11
DK,11
TR,10
LU,10
BH,7
CL,7
CO,6
SA,6
CY,6
LV,6
UY,5
HR,5
QA,5
GR,5
CR,4
KZ,4
MT,4
KW,3
IS,3
BZ,3
VN,3
RS,3
ME,2
PR,2
PA,2
KG,2
BY,2
FO,2
IM,2
TT,1
SV,1
ZM,1
GT,1
MU,1
AD,1
DO,1
PK,1
IR,1
BA,1
CW,1
DZ,1
GE,1
LA,1
PH,1
