Category,Count,Percentage
Hetzner,76,21.17
Amazon,43,11.98
OVH,25,6.96
DigitalOcean,10,2.79
COMCAST-7922,9,2.51
Contabo,7,1.95
ASN-CXA-ALL-CCI-22773-RDC,6,1.67
ATT-INTERNET4,5,1.39
BACOM,4,1.11
UUNET,4,1.11
NL-811-40021,4,1.11
Google,4,1.11
Deutsche Telekom,4,1.11
Vultr,4,1.11
CHARTER-20115,3,0.84
TERASWITCH,3,0.84
MEVSPACE sp. z o.o.,3,0.84
Microsoft Azure,3,0.84
TWC-10796-MIDWEST,3,0.84
"Alibaba US Technology Co.,",3,0.84
FreeS,3,0.84
COGENT-174,3,0.84
Telenor Norge AS,3,0.84
Aussie Broadband,3,0.84
Netcup,3,0.84
HVC-AS,2,0.56
AS-WHOLESAIL,2,0.56
Pulsant (Scotland) Ltd,2,0.56
LATITUDE-SH,2,0.56
British Telecommunications PLC,2,0.56
Odido Netherlands B.V.,2,0.56
HUAWEI CLOUDS,2,0.56
CHINA UNICOM China169 Backbone,2,0.56
TWC-20001-PACWEST,2,0.56
velia.net Internetdienste GmbH,2,0.56
Rostelecom,2,0.56
Hyperoptic Ltd,2,0.56
TDS-AS,2,0.56
Makedonski Telekom AD-Skopje,2,0.56
Virgin Media,2,0.56
