Category,Count
Germany,5189
United States,3538
Finland,815
France,531
United Kingdom,443
Singapore,413
The Netherlands,347
Canada,282
Japan,256
Australia,197
Russia,194
South Korea,191
Moldova,166
Austria,140
Switzerland,134
Vietnam,118
Ireland,106
Poland,104
China,93
India,89
Hong Kong,81
United Arab Emirates,78
Spain,70
Belgium,57
Sweden,57
Lithuania,48
South Africa,46
Ukraine,44
Czechia,39
Bulgaria,38
Thailand,31
Türkiye,30
Portugal,30
Norway,29
New Zealand,27
Slovenia,25
Romania,25
Luxembourg,24
Taiwan,24
Italy,23
Hungary,21
Israel,20
Denmark,19
Malaysia,16
Indonesia,15
Brazil,14
Mexico,13
Latvia,12
Malta,11
Argentina,11
Croatia,11
Armenia,10
Slovakia,9
Greece,9
Serbia,8
Cyprus,8
Jersey,7
Estonia,6
Seychelles,6
Montenegro,6
Gibraltar,5
Saudi Arabia,5
Colombia,4
Andorra,4
Chile,4
Iceland,3
Panama,3
Kazakhstan,2
Albania,2
Georgia,2
Puerto Rico,2
Paraguay,2
Belarus,2
Bermuda,1
Kuwait,1
Peru,1
Isle of Man,1
Philippines,1
Uzbekistan,1
British Virgin Islands,1
Kenya,1
Kyrgyzstan,1
Venezuela,1
Bosnia and Herzegovina,1
Nigeria,1
Mauritius,1
Iran,1
