Category,Count
Hetzner Online GmbH,8435
AMAZON-02,5461
AMAZON-AES,3699
OVH SAS,2423
Contabo GmbH,2222
SS-ASH,2045
MEVSPACE sp. z o.o.,1477
DIGITALOCEAN-ASN,844
GOOGLE-CLOUD-PLATFORM,795
ORACLE-BMC-31898,507
COMCAST-7922,429
NL-811-40021,415
Datacamp Limited,393
MICROSOFT-CORP-MSN-AS-BLOCK,370
Korea Telecom,314
SINGLEHOP-LLC,275
UUNET,274
"Alibaba US Technology Co.,",247
ATT-INTERNET4,232
netcup GmbH,230
TERASWITCH,176
HVC-AS,171
LATITUDE-SH,169
AS-VULTR,149
LIMESTONENETWORKS,147
HURRICANE,142
Contabo Asia Private Limited,133
IS-AS-1,117
Inovare-Prim SRL,110
Vodafone GmbH,107
GOOGLE,106
Deutsche Telekom AG,105
Akamai Connected Cloud,97
PACKET,97
HUAWEI CLOUDS,97
TWC-20001-PACWEST,93
UAB Cherry Servers,92
Virgin Media,92
FRONTIER-FRTR,91
KPN B.V.,91
ALLNODES,89
Vodafone Libertel B.V.,89
VPSTTT COMPUTER COMPANY LIMITED,89
ASN-CXA-ALL-CCI-22773-RDC,87
"Tencent Building, Kejizhongyi Avenue",84
Free SAS,83
SERVERS-COM,83
British Telecommunications PLC,80
ROGERS-COMMUNICATIONS,73
Thuega SmartService GmbH,72
BACOM,71
Orange,69
CENTURYLINK-US-LEGACY-QWEST,68
UK-2 Limited,68
CHARTER-20115,66
Odido Netherlands B.V.,64
Tele Columbus AG,62
Sunrise GmbH,60
Stark Industries Solutions Ltd,60
Telefonica De Espana S.a.u.,57
GOOGLE-FIBER,57
LeaseWeb Netherlands B.V.,55
AS-GLOBALTELEHOST,51
TELUS Communications,51
Aussie Broadband,51
Hostinger International Limited,50
WorldStream B.V.,50
TWC-11427-TEXAS,48
Chinanet,47
DpkgSoft International Limited,47
Pulsant (Scotland) Ltd,47
COGENT-174,47
FIDN,46
WEBNX,46
Scaleway S.a.s.,44
SWITCH,43
AS-COLOCROSSING,42
"Hangzhou Alibaba Advertising Co.,Ltd.",41
SHAW,41
Play2go International Limited,40
Hydra Communications Ltd,40
Bahnhof AB,40
Data Communication Business Group,39
Bluewin,38
Init7 (Switzerland),38
Vodafone Limited,37
LG DACOM,36
TWC-10796-MIDWEST,35
ANEXIA Internetdienstleistungs GmbH,34
Viet Storage Technology Joint Stock Company,34
Felix Gassan,34
TimeWeb,33
IONOS SE,33
AS-WHOLESAIL,31
Superloop,31
Telenet BV,30
Servicos De Comunicacoes E Multimedia S.A.,30
VNPT Corp,29
Lyse Tele,29
Coolhousing s.r.o.,29
Digi Romania S.A.,28
TPG Telecom Limited,28
UCLOUD INFORMATION TECHNOLOGY HK LIMITED,28
Leaseweb Deutschland GmbH,28
SK Broadband Co Ltd,28
BHN-33363,27
SPACEX-STARLINK,27
Vodafone Portugal - Communicacoes Pessoais S.A.,27
Nessus GmbH,26
A1 Bulgaria EAD,26
Kyiv Optic Networks ltd,26
M247 Europe SRL,26
Leaseweb UK Limited,25
China Networks Inter-Exchange,25
CTGNet,25
EASYVM-LLC,24
TWC-11351-NORTHEAST,24
Signet B.V.,24
NodeHub,24
Telstra Limited,24
Digi Spain Telecom S.l.,24
"RETE internet, s.r.o.",23
Shenzhen Tencent Computer Systems Company Limited,23
VIDEOTRON,22
VeloxServ Communications Ltd,22
HTTVSERVER TECHNOLOGY COMPANY LIMITED,22
HKT Limited,22
Liberty Global B.V.,22
AS-SONICTELECOM,22
Telia Company AB,21
MyRepublic,21
Latitude.sh LTDA,21
JSC Selectel,21
TWC-11426-CAROLINAS,21
Sky UK Limited,21
Societe Francaise Du Radiotelephone - SFR SA,20
T-Mobile Austria GmbH,20
China Mobile communications corporation,20
Equinix (EMEA) Acquisition Enterprises B.V.,20
"Slovak Telekom, a.s.",20
"Nos Comunicacoes, S.A.",19
Orange Polska Spolka Akcyjna,19
TIM,19
USINTERNET,19
FUSE-NET,19
China Unicom Beijing Province Network,19
Blix Solutions AS,18
Singtel Fibre Broadband,18
JSC ER-Telecom Holding,18
TWC-12271-NYC,18
WIIT AG,18
SNET-FCC,18
Proximus NV,18
Telekom Austria,18
Netclues Technologies Private Limited,18
Fornex Hosting S.L.,18
Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,18
Telenor Norge AS,17
INTERNAP-BLK4,17
"ARDH GLOBAL INDONESIA, PT",17
TalkTalk,17
RELIABLESITE,17
RCN-AS,17
Orange Espagne SA,17
Sony Network Communications,17
Viettel Group,16
Rostelecom,16
IP-Projects GmbH & Co. KG,16
Hyperoptic Ltd,16
FORT-COLLINS-CONNEXION,16
CTELCO,16
VIET DIGITAL TECHNOLOGY LIABILITY COMPANY,16
UNINET,16
NAMECHEAP-NET,16
Magyar Telekom plc.,16
Xtra Telecom S.A.,16
INTERNET-SOLUTIONS,16
Netwise Hosting Ltd,16
DATABANK-DFW,15
Scloud Pte Ltd,15
01node Funding Srl,15
CHINA UNICOM China169 Backbone,15
Community Fibre Limited,15
NTT Communications,15
Vodafone Czech Republic a.s.,15
ASN-QUADRANET-GLOBAL,15
"Telekom Slovenije, d.d.",14
SYNLINQ,14
Exaion SASU,14
Hostkey B.v.,14
Telecom Argentina S.A.,13
Exetel Pty Ltd,13
Pjsc tattelecom,13
