Category,Count,Percentage
Hetzner,109,16.74
OVH,93,14.29
Amazon AWS,41,6.3
Contabo,29,4.45
DigitalOcean,27,4.15
COMCAST-7922,15,2.3
Google Cloud,11,1.69
WorldStream B.V.,10,1.54
Akamai Connected Cloud,10,1.54
JSC Selectel,10,1.54
UUNET,7,1.08
Shenzhen Tencent Computer Systems Company Limited,6,0.92
UAB Cherry Servers,5,0.77
"Alibaba US Technology Co.,",5,0.77
COGENT-174,4,0.61
NL-811-40021,4,0.61
Akenes,4,0.61
KDDI CORPORATION,4,0.61
NAMECHEAP-NET,4,0.61
JSC IOT,4,0.61
AS-GLOBALTELEHOST,3,0.46
Belcloud LTD,3,0.46
Vultr,3,0.46
Data Communication Business Group,3,0.46
AS-30083-US-VELIA-NET,3,0.46
ATT-INTERNET4,3,0.46
Chinanet,3,0.46
Cloudie Limited,3,0.46
LeaseWeb Netherlands B.V.,3,0.46
ASN-CXA-ALL-CCI-22773-RDC,3,0.46
The Infrastructure Group B.V.,3,0.46
Scalaxy B.V.,3,0.46
MEVSPACE sp. z o.o.,3,0.46
TERASWITCH,3,0.46
Delta Telesystems,3,0.46
3W Infra B.V.,2,0.31
NForce Entertainment B.V.,2,0.31
Aussie Broadband,2,0.31
"TIME dotCom Berhad No. 14, Jalan Majistret U126 Hicom Glenmarie Industrial Park 40150 Shah Al",2,0.31
BLNWX,2,0.31
BACOM,2,0.31
KnownSRV,2,0.31
"BrainStorm Network, Inc",2,0.31
DATAWAGON,2,0.31
ITSOFT,2,0.31
Scaleway S.a.s.,2,0.31
LATITUDE-SH,2,0.31
IONOS SE,2,0.31
Liberty Global B.V.,2,0.31
Neterra,2,0.31
Strato,2,0.31
Snel.com B.V.,2,0.31
netcup GmbH,2,0.31
Microsoft Azure,2,0.31
IS-AS-1,2,0.31
BBO-1,2,0.31
Florian Kolb,2,0.31
HVC-AS,2,0.31
China Unicom Beijing Province Network,2,0.31
Deutsche Telekom,2,0.31
GTCOMM,2,0.31
ImproWare,2,0.31
Internet Initiative Japan,2,0.31
ORACLE-BMC-31898,2,0.31
TEKSAVVY,2,0.31
"Hangzhou Alibaba Advertising Co.,Ltd.",2,0.31
TELUS Communications,2,0.31
Private Layer INC,2,0.31
velia.net Internetdienste GmbH,2,0.31
Init7 (Switzerland),2,0.31
