Category,Count
US,5611
DE,2402
KR,534
GB,501
FR,497
JP,422
SG,417
NL,318
CN,301
FI,251
CA,199
TH,192
AU,133
CH,133
SE,130
RU,123
HK,105
PL,97
ES,92
IN,69
UA,56
TW,48
IT,46
AT,38
RO,36
BR,35
MX,33
IE,31
VN,30
AL,28
BE,28
CY,25
PT,24
LT,22
MK,19
LV,18
HU,17
BD,15
ZA,15
CL,14
GR,13
DZ,13
AE,13
TR,12
CZ,12
IL,11
BG,10
IS,10
LA,8
AR,6
MY,6
NO,6
PK,5
SA,4
MD,4
GE,4
HR,3
ID,3
EC,3
RE,3
SI,2
MU,2
EE,2
TN,2
DK,2
KW,2
UY,2
AM,1
IM,1
RS,1
JM,1
PE,1
CO,1
VE,1
PH,1
BA,1
LU,1
KZ,1
NZ,1
MT,1
KE,1
IR,1
AZ,1
JO,1
KH,1
LB,1
