Category,Count
AS-VULTR,3318
Contabo GmbH,1674
AS-COLOCROSSING,1072
AMAZON-02,900
Hetzner Online GmbH,550
NL-811-40021,545
DIGITALOCEAN-ASN,517
OVH SAS,344
MULTA-ASN1,234
"Siamdata Communication Co.,Ltd.",182
MVPS LTD,170
Korea Telecom,168
Akamai Connected Cloud,151
GOOGLE-CLOUD-PLATFORM,120
AMAZON-AES,114
Chinanet,106
Contabo Asia Private Limited,98
Scaleway S.a.s.,85
CHINA UNICOM China169 Backbone,65
Renater,60
Hostkey B.v.,59
Cyberlink AG,55
MEVSPACE sp. z o.o.,55
COMCAST-7922,53
NTH AG,53
netcup GmbH,41
T-MOBILE-AS21928,41
FIBERSTATE,36
"Alibaba US Technology Co.,",36
ORACLE-BMC-31898,33
IS-AS-1,33
Hostinger International Limited,32
SK Broadband Co Ltd,29
Simply Transit Ltd,29
Data Communication Business Group,28
LEASEWEB-USA-WDC,28
Albanian Hosting SH.P.K.,28
"China Mobile Communications Group Co.,",27
UUNET,27
MICROSOFT-CORP-MSN-AS-BLOCK,27
velia.net Internetdienste GmbH,26
HKT Limited,25
WII,25
WIIT AG,25
HGC Global Communications Limited,25
ATT-INTERNET4,25
IONOS SE,25
Vodafone GmbH,24
Digi Romania S.A.,23
Seflow s.r.l.,21
Free SAS,21
China Mobile communications corporation,20
HVC-AS,19
INTERSPACE DOOEL Skopje,19
Rostelecom,19
DBM-ASN-KC,17
Ikoula Net SAS,17
Florian Kolb,17
IPAX GmbH,17
"Tencent Building, Kejizhongyi Avenue",16
"Hangzhou Alibaba Advertising Co.,Ltd.",16
VNPT Corp,15
SAKURA Internet,15
Free Pro SAS,14
Bouygues Telecom SA,14
Virtual Systems,14
JSC ER-Telecom Holding,14
Race Online Limited,14
Privex,13
UAB Interneto vizija,13
Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,12
FRONTIER-FRTR,12
Telecom Algeria,12
TIER-NET,12
Deutsche Telekom AG,12
CAT Telecom Public Company Limited,12
HOSTWINDS,11
NAMECHEAP-NET,11
WorldStream B.V.,11
HUAWEI CLOUDS,11
Orange,10
TELUS Communications,10
Host Universal Pty Ltd,10
Emirates Telecommunications Group Company (etisalat Group) Pjsc,10
China Telecom Group,10
Signet B.V.,10
Servicos De Comunicacoes E Multimedia S.A.,10
WEBNX,9
Servereasy Srl,9
ISPpro Internet KG,9
RICAWEBSERVICES,9
Ip Server,9
"High Family Technology Co., Limited",9
LATITUDE-SH,9
Stark Industries Solutions Ltd,8
Orange Espagne SA,8
Servernet Internet Limited,8
Odido Netherlands B.V.,8
ANEXIA Internetdienstleistungs GmbH,8
Liberty Global B.V.,8
"Nos Comunicacoes, S.A.",8
SERVERS-COM,8
NOCIX,8
SIA Tet,8
UDomain Web Hosting Company Ltd,8
TZULO,8
China Mobile Communicaitons,8
UPCLOUDUSA,7
China Unicom Beijing Province Network,7
IOFLOOD,7
Master Internet s.r.o.,7
TWC-20001-PACWEST,7
Aeza International Ltd,7
CENTURYLINK-US-LEGACY-QWEST,7
CABLE-NET-1,7
ITP-Solutions GmbH & Co. KG,7
PACKET,7
CHARTER-20115,7
Societe Francaise Du Radiotelephone - SFR SA,7
AS40676,7
Shenzhen Tencent Computer Systems Company Limited,7
GOOGLE,7
TimeWeb,6
Datacamp Limited,6
Sunrise GmbH,6
Viettel Group,6
LeaseWeb Netherlands B.V.,6
COGENT-174,6
AS-WHOLESAIL,6
Virgin Media,6
Xserver,6
TIM,6
ASN-CXA-ALL-CCI-22773-RDC,6
Bahnhof AB,6
FPT Telecom Company,5
Itglobal.com Nl B.v.,5
GOOGLE-FIBER,5
"Domain names registrar REG.RU, Ltd",5
Host Europe GmbH,5
UpCloud Ltd,5
LeaderTelecom B.V.,5
KPN B.V.,5
LG POWERCOMM,5
GO-DADDY-COM-LLC,5
BitCommand,5
Rackforest Zrt.,5
AS-SONICTELECOM,5
Vodafone Libertel B.V.,5
JSC Ukrtelecom,5
Hohl IT e.U.,5
Tele2 SWIPnet,5
Xtra Telecom S.A.,5
Vodafone Portugal - Communicacoes Pessoais S.A.,5
Eons Data Communications Limited,5
TWC-11426-CAROLINAS,5
TWC-10796-MIDWEST,5
China Networks Inter-Exchange,5
Invitech ICT Services Kft.,4
Joint Stock Company TransTeleCom,4
Pakistan Telecommunication Company Limited,4
"Henan Mobile Communications Co.,Ltd",4
ARTERIA Networks,4
CABLEONE,4
SHAW,4
IP-Projects GmbH & Co. KG,4
LIMESTONENETWORKS,4
TELEFONICA CHILE S.A.,4
Hyperoptic Ltd,4
Claro NXT Telecomunicacoes Ltda,4
GORILLASERVERS,4
TPG Telecom Limited,4
Vodafone Romania S.A.,4
BACOM,4
Servers Tech Fzco,4
Aussie Broadband,4
UAB Cherry Servers,4
DATAWAGON,4
Fastweb,4
Zen Internet Ltd,4
