Category,Count,Percentage
United States,3007,60.14
South Korea,735,14.7
Germany,263,5.26
Canada,140,2.8
United Kingdom,101,2.02
France,53,1.06
Czech Republic,52,1.04
Netherlands,52,1.04
Australia,44,0.88
Russia,39,0.78
Singapore,35,0.7
Finland,31,0.62
Poland,23,0.46
Switzerland,23,0.46
Sweden,22,0.44
Iran,22,0.44
Belgium,22,0.44
Ukraine,20,0.4
Bulgaria,20,0.4
South Africa,17,0.34
Portugal,16,0.32
Japan,15,0.3
Lithuania,15,0.3
Norway,14,0.28
China,14,0.28
Malaysia,14,0.28
Turkey,13,0.26
Spain,11,0.22
Ireland,11,0.22
Vietnam,11,0.22
New Zealand,9,0.18
Italy,9,0.18
Argentina,9,0.18
Romania,8,0.16
Moldova,8,0.16
Slovenia,7,0.14
Austria,7,0.14
United Arab Emirates,7,0.14
India,6,0.12
Greece,5,0.1
Luxembourg,5,0.1
Israel,5,0.1
Bangladesh,5,0.1
Denmark,5,0.1
Malta,4,0.08
Latvia,4,0.08
Republic of Serbia,4,0.08
Mexico,4,0.08
Taiwan,3,0.06
Hungary,3,0.06
Rwanda,3,0.06
Macedonia,3,0.06
Estonia,2,0.04
Iceland,2,0.04
Slovakia,2,0.04
Croatia,2,0.04
Thailand,2,0.04
Kuwait,1,0.02
Belarus,1,0.02
Paraguay,1,0.02
Panama,1,0.02
Costa Rica,1,0.02
Jordan,1,0.02
Saudi Arabia,1,0.02
Indonesia,1,0.02
Chile,1,0.02
Brazil,1,0.02
Puerto Rico,1,0.02
Andorra,1,0.02
