Category,Count,Percentage
SS-ASH,1007,20.14
AMAZON-AES,889,17.78
Korea Telecom,674,13.48
Hetzner Online GmbH,292,5.84
COMCAST-7922,170,3.4
AMAZON-02,125,2.5
Contabo GmbH,92,1.84
GOOGLE-CLOUD-PLATFORM,88,1.76
OVHS,87,1.74
UUNET,78,1.56
Akamai Connected Cloud,71,1.42
ATT-INTERNET4,62,1.24
DIGITALOCEAN-ASN,35,0.7
TWC-20001-PACWEST,33,0.66
ORACLE-BMC-31898,28,0.56
TELUS Communications,26,0.52
Virgin Media,24,0.48
LG DACOM,22,0.44
netcup GmbH,21,0.42
ROGERS-COMMUNICATIONS,20,0.4
ASN-CXA-ALL-CCI-22773-RDC,20,0.4
Hostinger International Limited,18,0.36
BACOM,16,0.32
Odido Netherlands B.V.,16,0.32
A1 Bulgaria EAD,16,0.32
"RETE internet, s.r.o.",15,0.3
SHAW,15,0.3
Sky UK Limited,15,0.3
ISP Alliance a.s.,15,0.3
"Alibaba US Technology Co.,",15,0.3
Deutsche Telekom,14,0.28
"WEDOS Internet, a.s.",14,0.28
LG POWERCOMM,14,0.28
INTERNET-SOLUTIONS,14,0.28
ALLNODES,13,0.26
CHARTER-20115,13,0.26
LIMESTONENETWORKS,13,0.26
TERASWITCH,13,0.26
PACKET,13,0.26
NL-811-40021,12,0.24
Stark Industries Solutions Ltd,12,0.24
CENTURYLINK-US-LEGACY-QWEST,12,0.24
LATITUDE-SH,12,0.24
FRONTIER-FRTR,11,0.22
MEVSPACE sp. z o.o.,11,0.22
"TIME dotCom Berhad No. 14, Jalan Majistret U126 Hicom Glenmarie Industrial Park 40150 Shah Al",11,0.22
Servicos De Comunicacoes E Multimedia S.A.,10,0.2
BHN-33363,10,0.2
FORT-COLLINS-CONNEXION,10,0.2
SK Broadband Co Ltd,10,0.2
GOOGLE-FIBER,10,0.2
FreeS,10,0.2
KPN B.V.,10,0.2
Bluewin,9,0.18
Telia Company AB,9,0.18
TWC-11427-TEXAS,9,0.18
Singtel Fibre Broadband,9,0.18
Orange,8,0.16
Telstra Limited,8,0.16
FPT Telecom Company,8,0.16
Turk Telekom,8,0.16
SMILESERV,8,0.16
TWC-10796-MIDWEST,8,0.16
British Telecommunications PLC,8,0.16
TWC-11426-CAROLINAS,7,0.14
Datacamp Limited,7,0.14
TWC-11351-NORTHEAST,7,0.14
AS-WHOLESAIL,7,0.14
CABLEONE,6,0.12
Inovare-Prim SRL,6,0.12
SINGLEHOP-LLC,6,0.12
CABLE-NET-1,6,0.12
AS-SONICTELECOM,6,0.12
Kyiv Optic Networks ltd,6,0.12
AS-VULTR,6,0.12
Aussie Broadband,6,0.12
Emirates Telecommunications Group Company (etisalat Group) Pjsc,6,0.12
"Tencent Building, Kejizhongyi Avenue",5,0.1
TWC-12271-NYC,5,0.1
Nessus GmbH,5,0.1
Vodafone GmbH,5,0.1
"Nos Comunicacoes, S.A.",5,0.1
Community Fibre Limited,5,0.1
WorldStream B.V.,5,0.1
GOOGLE,5,0.1
MICROSOFT-CORP-MSN-AS-BLOCK,5,0.1
GRANDECOM-AS1,5,0.1
JSC IOT,5,0.1
IS-AS-1,5,0.1
SPACEX-STARLINK,5,0.1
Telia Norge AS,5,0.1
Contabo Asia Private Limited,5,0.1
Tele2 SWIPnet,5,0.1
SERVERS-COM,5,0.1
LG HelloVision,5,0.1
Orange Polska Spolka Akcyjna,4,0.08
Vodafone Libertel B.V.,4,0.08
SIA Tet,4,0.08
VIDEOTRON,4,0.08
Superonline Iletisim Hizmetleri A.S.,4,0.08
Exetel Pty Ltd,4,0.08
WOW-INTERNET,4,0.08
Belong Telstra Limited,4,0.08
Scaleway S.a.s.,4,0.08
UNINET,4,0.08
TalkTalk,4,0.08
Telenet BV,4,0.08
ExaionSU,4,0.08
"Telia Lietuva, AB",4,0.08
Sunrise GmbH,4,0.08
Digi Romania S.A.,4,0.08
ROUTERHOSTING,4,0.08
OZARKSGO,4,0.08
Aquiss Limited,4,0.08
Spartan Host Ltd,3,0.06
Liberty Global B.V.,3,0.06
Orange Espagne,3,0.06
RELIABLESITE,3,0.06
Superloop,3,0.06
Telenor Norge AS,3,0.06
Telekom Austria,3,0.06
PJSC Moscow city telephone network,3,0.06
