Category,Count,Percentage
TERASWITCH,1174,22.36
LATITUDE-SH,711,13.54
OVH,617,11.75
Vultr,293,5.58
UAB Cherry Servers,233,4.44
WEBNX,192,3.66
Equinix,159,3.03
IS-AS-1,148,2.82
Amazon AWS,147,2.8
LIMESTONENETWORKS,124,2.36
Amarutu Technology Ltd,120,2.29
velia.net Internetdienste GmbH,80,1.52
ServeTheWorld AS,77,1.47
MEVSPACE sp. z o.o.,74,1.41
Latitude.sh LTDA,65,1.24
TIER-NET,53,1.01
HVC-AS,53,1.01
ORACLE-BMC-31898,44,0.84
Hetzner,44,0.84
SYNLINQ,42,0.8
AS-30083-US-VELIA-NET,31,0.59
RELIABLESITE,29,0.55
"Fiord Networks, UAB",25,0.48
LLC trc Fiord,22,0.42
Hostkey B.v.,22,0.42
23M GmbH,21,0.4
Inetcom Carrier,21,0.4
DCS,20,0.38
JSC Ul-com Media,20,0.38
i3D.net B.V,18,0.34
Albanian Hosting SH.P.K.,18,0.34
FIBERSTATE,15,0.29
ALLNODES,15,0.29
NetOne Rus JSC,14,0.27
Leaseweb Deutschland GmbH,14,0.27
Alibaba,14,0.27
HostCircle B.V.,14,0.27
COGENT-174,13,0.25
PUREVOLTAGE-INC,13,0.25
PE Konstantin Vladimirovich Kravchenko,13,0.25
Datacamp Limited,13,0.25
RACKDOG-LLC,12,0.23
AE,12,0.23
Fornex Hosting S.L.,12,0.23
SERVERS-COM,10,0.19
Vodafone Czech Republic a.s.,10,0.19
IP-Projects GmbH & Co. KG,9,0.17
Google Cloud,9,0.17
"Tencent Building, Kejizhongyi Avenue",9,0.17
RETN Limited,8,0.15
PAYWARD-ASN-01,8,0.15
Arelion Sweden AB,7,0.13
LAYER-HOST-HOUSTON,7,0.13
LAYER-HOST-SGP,7,0.13
Adman,6,0.11
dataforest GmbH,6,0.11
NODESTOP-LLC,6,0.11
Evolus IT Solutions GmbH,6,0.11
Soleex BV,5,0.1
VeloxServ Communications Ltd,5,0.1
Coolhousing s.r.o.,5,0.1
Cosmonova,5,0.1
Melbikomas UAB,5,0.1
SINGLEHOP-LLC,5,0.1
Byteplus Pte.,4,0.08
VNET a.s.,4,0.08
GORILLASERVERS,4,0.08
UNITAS,4,0.08
HOSTKEY-USA,4,0.08
UK Dedicated Servers Limited,4,0.08
HOSTING-SOLUTIONS,4,0.08
JUMP-TRADING-LLC,4,0.08
DATAWAGON,3,0.06
Daniel Jackson,3,0.06
Aruba S.p.A.,3,0.06
Nessus GmbH,3,0.06
MARKLEY-NETWORK-SERVICES,3,0.06
Opticom Group AO,3,0.06
Versija SIA,3,0.06
AS-GLXY-DIGITAL,3,0.06
HURRICANE,3,0.06
PERFECT-INTERNATIONAL,3,0.06
Roman Kalita,3,0.06
Lovitel,3,0.06
Gigahost AS,3,0.06
ANAFRA s.r.o.,3,0.06
NForce Entertainment B.V.,3,0.06
RoyaleHosting BV,3,0.06
AS-XFERNET,3,0.06
ZESTY-CABLE,3,0.06
NTG-AS,3,0.06
Microsoft Azure,3,0.06
