"ts","nodes"
"07/28/2024, 12:00:00 AM",1190
"08/04/2024, 12:00:00 AM",1281
"08/11/2024, 12:00:00 AM",1350
"08/18/2024, 12:00:00 AM",1354
"08/25/2024, 12:00:00 AM",1353
"09/01/2024, 12:00:00 AM",1484
"09/08/2024, 12:00:00 AM",1337
"09/15/2024, 12:00:00 AM",1354
"09/22/2024, 12:00:00 AM",1311
"09/29/2024, 12:00:00 AM",1269
"10/06/2024, 12:00:00 AM",1283
"10/13/2024, 12:00:00 AM",1291
"10/20/2024, 12:00:00 AM",1395
"10/27/2024, 12:00:00 AM",1286
"11/03/2024, 12:00:00 AM",1378
"11/10/2024, 12:00:00 AM",1493
"11/17/2024, 12:00:00 AM",1545
"11/24/2024, 12:00:00 AM",1673
"12/01/2024, 12:00:00 AM",2013
"12/08/2024, 12:00:00 AM",2122
"12/15/2024, 12:00:00 AM",2466
